Hobby,Personality,Stream,Career_Goal,Recommended_Courses,Nearby_Colleges,College_Websites,Course_Type,Average_Fees
coding,Analytical,Science,Software Developer,B.Tech in Computer Science,IIT Bombay | IIIT Hyderabad | VIT Vellore,https://www.iitb.ac.in | https://www.iiit.ac.in | https://vit.ac.in,full-time,309996
public speaking,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,59057
research,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,214878
research,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,41136
social work,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,288448
social work,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,19001
designing,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,349388
designing,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,19838
gaming,Analytical,Science,Cybersecurity Expert,B.Tech in Cyber Security,VIT Vellore | Amity University | SRM University,https://vit.ac.in | https://www.amity.edu | https://www.srmist.edu.in,full-time,328838
gaming,Analytical,Science,Cybersecurity Expert,Diploma in Cyber Security,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,33193
coding,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,239736
coding,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,78100
reading,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,276949
reading,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,21087
drawing,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,185893
drawing,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,79936
public speaking,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,325108
public speaking,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,55062
research,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,349592
research,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,57915
social work,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,333808
social work,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,70886
designing,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,312043
designing,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,18486
gaming,Analytical,Science,AI Engineer,B.Tech in Artificial Intelligence,IIT Hyderabad | VIT Vellore | Amity University,https://iith.ac.in | https://vit.ac.in | https://www.amity.edu,full-time,182999
gaming,Analytical,Science,AI Engineer,Diploma in AI & ML,Jain University | Chandigarh University | LPU,https://www.jainuniversity.ac.in | https://www.cuchd.in | https://www.lpu.in,part-time,23869
coding,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,SRM University | VIT Vellore | IIT Delhi,https://www.srmist.edu.in | https://vit.ac.in | https://home.iitd.ac.in,full-time,160314
coding,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,SRM University | VIT Vellore | IIT Delhi,https://www.srmist.edu.in | https://vit.ac.in | https://home.iitd.ac.in,part-time,78769
reading,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,IIT Bombay | IIT Delhi | SRM University,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,156487
reading,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,IIT Bombay | IIT Delhi | SRM University,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,part-time,60059
drawing,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,AIIMS Delhi | IIT Bombay | IIT Delhi,https://www.aiims.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,181155
drawing,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,AIIMS Delhi | IIT Bombay | IIT Delhi,https://www.aiims.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,76454
public speaking,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,IIT Delhi | SRM University | VIT Vellore,https://home.iitd.ac.in | https://www.srmist.edu.in | https://vit.ac.in,full-time,296791
public speaking,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,IIT Delhi | SRM University | VIT Vellore,https://home.iitd.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,28052
research,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,SRM University | IIT Delhi | AIIMS Delhi,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.aiims.edu,full-time,212171
research,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,SRM University | IIT Delhi | AIIMS Delhi,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.aiims.edu,part-time,41084
social work,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,SRM University | IIT Delhi | AIIMS Delhi,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.aiims.edu,full-time,295355
social work,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,SRM University | IIT Delhi | AIIMS Delhi,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.aiims.edu,part-time,59618
designing,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,AIIMS Delhi | IIT Bombay | VIT Vellore,https://www.aiims.edu | https://www.iitb.ac.in | https://vit.ac.in,full-time,164410
designing,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,AIIMS Delhi | IIT Bombay | VIT Vellore,https://www.aiims.edu | https://www.iitb.ac.in | https://vit.ac.in,part-time,60719
gaming,Analytical,Science,Mechanical Engineer,B.Tech in Mechanical Engineering,SRM University | IIT Bombay | AIIMS Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://www.aiims.edu,full-time,315487
gaming,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineering,SRM University | IIT Bombay | AIIMS Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://www.aiims.edu,part-time,49377
coding,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,AIIMS Delhi | IIT Bombay | SRM University,https://www.aiims.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,101555
coding,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,AIIMS Delhi | IIT Bombay | SRM University,https://www.aiims.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,52190
reading,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,full-time,93514
reading,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,part-time,73132
drawing,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,IIT Delhi | SRM University | VIT Vellore,https://home.iitd.ac.in | https://www.srmist.edu.in | https://vit.ac.in,full-time,330793
drawing,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,IIT Delhi | SRM University | VIT Vellore,https://home.iitd.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,39219
public speaking,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,191213
public speaking,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,24529
research,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,AIIMS Delhi | IIT Bombay | IIT Delhi,https://www.aiims.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,216063
research,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,AIIMS Delhi | IIT Bombay | IIT Delhi,https://www.aiims.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,77898
social work,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,109953
social work,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,55182
designing,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,IIT Delhi | VIT Vellore | SRM University,https://home.iitd.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,237612
designing,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,IIT Delhi | VIT Vellore | SRM University,https://home.iitd.ac.in | https://vit.ac.in | https://www.srmist.edu.in,part-time,23827
gaming,Analytical,Science,Civil Engineer,B.Tech in Civil Engineering,SRM University | IIT Delhi | AIIMS Delhi,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.aiims.edu,full-time,141503
gaming,Analytical,Science,Civil Engineer,Diploma in Civil Engineering,SRM University | IIT Delhi | AIIMS Delhi,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.aiims.edu,part-time,24981
coding,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,AIIMS Delhi | VIT Vellore | IIT Bombay,https://www.aiims.edu | https://vit.ac.in | https://www.iitb.ac.in,full-time,284787
coding,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,AIIMS Delhi | VIT Vellore | IIT Bombay,https://www.aiims.edu | https://vit.ac.in | https://www.iitb.ac.in,part-time,27325
reading,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,IIT Delhi | AIIMS Delhi | VIT Vellore,https://home.iitd.ac.in | https://www.aiims.edu | https://vit.ac.in,full-time,165287
reading,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,IIT Delhi | AIIMS Delhi | VIT Vellore,https://home.iitd.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,34025
drawing,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,IIT Delhi | IIT Bombay | VIT Vellore,https://home.iitd.ac.in | https://www.iitb.ac.in | https://vit.ac.in,full-time,255643
drawing,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,IIT Delhi | IIT Bombay | VIT Vellore,https://home.iitd.ac.in | https://www.iitb.ac.in | https://vit.ac.in,part-time,75725
public speaking,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,AIIMS Delhi | IIT Delhi | VIT Vellore,https://www.aiims.edu | https://home.iitd.ac.in | https://vit.ac.in,full-time,241663
public speaking,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,AIIMS Delhi | IIT Delhi | VIT Vellore,https://www.aiims.edu | https://home.iitd.ac.in | https://vit.ac.in,part-time,55601
research,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,AIIMS Delhi | IIT Bombay | SRM University,https://www.aiims.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,170547
research,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,AIIMS Delhi | IIT Bombay | SRM University,https://www.aiims.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,60780
social work,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,IIT Bombay | SRM University | VIT Vellore,https://www.iitb.ac.in | https://www.srmist.edu.in | https://vit.ac.in,full-time,286556
social work,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,IIT Bombay | SRM University | VIT Vellore,https://www.iitb.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,63541
designing,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,AIIMS Delhi | IIT Delhi | VIT Vellore,https://www.aiims.edu | https://home.iitd.ac.in | https://vit.ac.in,full-time,314093
designing,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,AIIMS Delhi | IIT Delhi | VIT Vellore,https://www.aiims.edu | https://home.iitd.ac.in | https://vit.ac.in,part-time,61391
gaming,Analytical,Science,Electrical Engineer,B.Tech in Electrical Engineering,IIT Bombay | AIIMS Delhi | VIT Vellore,https://www.iitb.ac.in | https://www.aiims.edu | https://vit.ac.in,full-time,145572
gaming,Analytical,Science,Electrical Engineer,Diploma in Electrical Engineering,IIT Bombay | AIIMS Delhi | VIT Vellore,https://www.iitb.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,29376
coding,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,111592
coding,Analytical,Science,Doctor,Diploma in Medical Lab Technology,VIT Vellore | IIT Delhi | SRM University,https://vit.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,part-time,32461
reading,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,164794
reading,Analytical,Science,Doctor,Diploma in Medical Lab Technology,SRM University | AIIMS Delhi | IIT Delhi,https://www.srmist.edu.in | https://www.aiims.edu | https://home.iitd.ac.in,part-time,75019
drawing,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,185919
drawing,Analytical,Science,Doctor,Diploma in Medical Lab Technology,VIT Vellore | IIT Bombay | SRM University,https://vit.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,22199
public speaking,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,273627
public speaking,Analytical,Science,Doctor,Diploma in Medical Lab Technology,IIT Bombay | VIT Vellore | AIIMS Delhi,https://www.iitb.ac.in | https://vit.ac.in | https://www.aiims.edu,part-time,54412
research,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,149162
research,Analytical,Science,Doctor,Diploma in Medical Lab Technology,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,67086
social work,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,280764
social work,Analytical,Science,Doctor,Diploma in Medical Lab Technology,SRM University | AIIMS Delhi | VIT Vellore,https://www.srmist.edu.in | https://www.aiims.edu | https://vit.ac.in,part-time,21499
designing,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,300082
designing,Analytical,Science,Doctor,Diploma in Medical Lab Technology,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,38463
gaming,Analytical,Science,Doctor,MBBS,AIIMS Delhi | KEM Mumbai | CMC Vellore,https://www.aiims.edu | https://kem.edu | https://www.cmch-vellore.edu,full-time,199921
gaming,Analytical,Science,Doctor,Diploma in Medical Lab Technology,AIIMS Delhi | IIT Delhi | VIT Vellore,https://www.aiims.edu | https://home.iitd.ac.in | https://vit.ac.in,part-time,54280
coding,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,190282
coding,Social,Science,Nurse,Diploma in Nursing,IIT Delhi | IIT Bombay | SRM University,https://home.iitd.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,78425
reading,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,285647
reading,Social,Science,Nurse,Diploma in Nursing,SRM University | IIT Bombay | VIT Vellore,https://www.srmist.edu.in | https://www.iitb.ac.in | https://vit.ac.in,part-time,58964
drawing,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,205479
drawing,Social,Science,Nurse,Diploma in Nursing,AIIMS Delhi | VIT Vellore | IIT Bombay,https://www.aiims.edu | https://vit.ac.in | https://www.iitb.ac.in,part-time,17084
public speaking,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,257680
public speaking,Social,Science,Nurse,Diploma in Nursing,IIT Bombay | AIIMS Delhi | VIT Vellore,https://www.iitb.ac.in | https://www.aiims.edu | https://vit.ac.in,part-time,71559
research,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,335227
research,Social,Science,Nurse,Diploma in Nursing,SRM University | IIT Delhi | VIT Vellore,https://www.srmist.edu.in | https://home.iitd.ac.in | https://vit.ac.in,part-time,60476
social work,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,322192
social work,Social,Science,Nurse,Diploma in Nursing,VIT Vellore | AIIMS Delhi | IIT Bombay,https://vit.ac.in | https://www.aiims.edu | https://www.iitb.ac.in,part-time,51894
designing,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,179635
designing,Social,Science,Nurse,Diploma in Nursing,SRM University | VIT Vellore | IIT Delhi,https://www.srmist.edu.in | https://vit.ac.in | https://home.iitd.ac.in,part-time,54764
gaming,Social,Science,Nurse,B.Sc Nursing,AIIMS Delhi | Manipal University | SRM University,https://www.aiims.edu | https://manipal.edu | https://www.srmist.edu.in,full-time,264077
