Hobby,Personality,Stream,Career_Goal,Recommended_Courses,Nearby_Colleges,College_Websites,Course_Type,Average_Fees
coding,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,NIT Trichy | IIT Bombay | IIT Delhi,https://www.nitt.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,299353
social work,Analytical,Science,Software Engineer,Diploma in Software Engineer,NIT Trichy | VIT Vellore | SRM University,https://www.nitt.edu | https://vit.ac.in | https://www.srmist.edu.in,part-time,69948
designing,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,IIT Delhi | NIT Trichy | IIT Bombay,https://home.iitd.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,full-time,196102
designing,Analytical,Science,Software Engineer,Diploma in Software Engineer,VIT Vellore | IIT Delhi | IIT Bombay,https://vit.ac.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,31125
gaming,Analytical,Science,Software Engineer,Bachelor's in Software Engineer,NIT Trichy | IIT Bombay | VIT Vellore,https://www.nitt.edu | https://www.iitb.ac.in | https://vit.ac.in,full-time,116403
gaming,Analytical,Science,Software Engineer,Diploma in Software Engineer,NIT Trichy | SRM University | VIT Vellore,https://www.nitt.edu | https://www.srmist.edu.in | https://vit.ac.in,part-time,19986
coding,Analytical,Science,Doctor,Bachelor's in Doctor,IIT Bombay | SRM University | VIT Vellore,https://www.iitb.ac.in | https://www.srmist.edu.in | https://vit.ac.in,full-time,91992
coding,Analytical,Science,Doctor,Diploma in Doctor,IIT Bombay | NIT Trichy | VIT Vellore,https://www.iitb.ac.in | https://www.nitt.edu | https://vit.ac.in,part-time,62748
reading,Analytical,Science,Doctor,Bachelor's in Doctor,SRM University | IIT Bombay | VIT Vellore,https://www.srmist.edu.in | https://www.iitb.ac.in | https://vit.ac.in,full-time,233886
reading,Analytical,Science,Doctor,Diploma in Doctor,IIT Bombay | VIT Vellore | NIT Trichy,https://www.iitb.ac.in | https://vit.ac.in | https://www.nitt.edu,part-time,43164
drawing,Analytical,Science,Doctor,Bachelor's in Doctor,IIT Delhi | VIT Vellore | NIT Trichy,https://home.iitd.ac.in | https://vit.ac.in | https://www.nitt.edu,full-time,229121
drawing,Analytical,Science,Doctor,Diploma in Doctor,SRM University | NIT Trichy | IIT Bombay,https://www.srmist.edu.in | https://www.nitt.edu | https://www.iitb.ac.in,part-time,15345
public speaking,Analytical,Science,Doctor,Bachelor's in Doctor,IIT Delhi | SRM University | IIT Bombay,https://home.iitd.ac.in | https://www.srmist.edu.in | https://www.iitb.ac.in,full-time,127838
public speaking,Analytical,Science,Doctor,Diploma in Doctor,VIT Vellore | NIT Trichy | IIT Bombay,https://vit.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,part-time,54607
research,Analytical,Science,Doctor,Bachelor's in Doctor,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,104934
research,Analytical,Science,Doctor,Diploma in Doctor,NIT Trichy | SRM University | IIT Bombay,https://www.nitt.edu | https://www.srmist.edu.in | https://www.iitb.ac.in,part-time,62961
social work,Analytical,Science,Doctor,Bachelor's in Doctor,NIT Trichy | SRM University | VIT Vellore,https://www.nitt.edu | https://www.srmist.edu.in | https://vit.ac.in,full-time,242620
social work,Analytical,Science,Doctor,Diploma in Doctor,IIT Bombay | IIT Delhi | VIT Vellore,https://www.iitb.ac.in | https://home.iitd.ac.in | https://vit.ac.in,part-time,52578
designing,Analytical,Science,Doctor,Bachelor's in Doctor,IIT Bombay | IIT Delhi | VIT Vellore,https://www.iitb.ac.in | https://home.iitd.ac.in | https://vit.ac.in,full-time,259519
designing,Analytical,Science,Doctor,Diploma in Doctor,VIT Vellore | IIT Bombay | NIT Trichy,https://vit.ac.in | https://www.iitb.ac.in | https://www.nitt.edu,part-time,51375
gaming,Analytical,Science,Doctor,Bachelor's in Doctor,IIT Bombay | IIT Delhi | SRM University,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,120796
gaming,Analytical,Science,Doctor,Diploma in Doctor,SRM University | VIT Vellore | IIT Bombay,https://www.srmist.edu.in | https://vit.ac.in | https://www.iitb.ac.in,part-time,57219
coding,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,NIT Trichy | SRM University | IIT Bombay,https://www.nitt.edu | https://www.srmist.edu.in | https://www.iitb.ac.in,full-time,264123
coding,Analytical,Science,Data Scientist,Diploma in Data Scientist,IIT Delhi | NIT Trichy | VIT Vellore,https://home.iitd.ac.in | https://www.nitt.edu | https://vit.ac.in,part-time,33837
reading,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,SRM University | NIT Trichy | IIT Bombay,https://www.srmist.edu.in | https://www.nitt.edu | https://www.iitb.ac.in,full-time,161714
reading,Analytical,Science,Data Scientist,Diploma in Data Scientist,VIT Vellore | IIT Bombay | IIT Delhi,https://vit.ac.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,30787
drawing,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,231488
drawing,Analytical,Science,Data Scientist,Diploma in Data Scientist,IIT Delhi | NIT Trichy | SRM University,https://home.iitd.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,part-time,30040
public speaking,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,IIT Bombay | IIT Delhi | SRM University,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,209738
public speaking,Analytical,Science,Data Scientist,Diploma in Data Scientist,IIT Bombay | IIT Delhi | SRM University,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,part-time,35398
research,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,IIT Delhi | IIT Bombay | SRM University,https://home.iitd.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,150158
research,Analytical,Science,Data Scientist,Diploma in Data Scientist,NIT Trichy | SRM University | VIT Vellore,https://www.nitt.edu | https://www.srmist.edu.in | https://vit.ac.in,part-time,67732
social work,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,VIT Vellore | IIT Bombay | NIT Trichy,https://vit.ac.in | https://www.iitb.ac.in | https://www.nitt.edu,full-time,284426
social work,Analytical,Science,Data Scientist,Diploma in Data Scientist,VIT Vellore | SRM University | NIT Trichy,https://vit.ac.in | https://www.srmist.edu.in | https://www.nitt.edu,part-time,20588
designing,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,SRM University | IIT Bombay | VIT Vellore,https://www.srmist.edu.in | https://www.iitb.ac.in | https://vit.ac.in,full-time,118535
designing,Analytical,Science,Data Scientist,Diploma in Data Scientist,VIT Vellore | IIT Bombay | NIT Trichy,https://vit.ac.in | https://www.iitb.ac.in | https://www.nitt.edu,part-time,58925
gaming,Analytical,Science,Data Scientist,Bachelor's in Data Scientist,IIT Bombay | VIT Vellore | IIT Delhi,https://www.iitb.ac.in | https://vit.ac.in | https://home.iitd.ac.in,full-time,156300
gaming,Analytical,Science,Data Scientist,Diploma in Data Scientist,NIT Trichy | IIT Bombay | VIT Vellore,https://www.nitt.edu | https://www.iitb.ac.in | https://vit.ac.in,part-time,22135
coding,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,VIT Vellore | IIT Bombay | SRM University,https://vit.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,98511
coding,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,VIT Vellore | NIT Trichy | IIT Bombay,https://vit.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,part-time,35871
reading,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,IIT Bombay | VIT Vellore | IIT Delhi,https://www.iitb.ac.in | https://vit.ac.in | https://home.iitd.ac.in,full-time,291773
reading,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,SRM University | IIT Delhi | NIT Trichy,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.nitt.edu,part-time,63110
drawing,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,IIT Bombay | NIT Trichy | VIT Vellore,https://www.iitb.ac.in | https://www.nitt.edu | https://vit.ac.in,full-time,95914
drawing,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,62340
public speaking,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,IIT Delhi | NIT Trichy | IIT Bombay,https://home.iitd.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,full-time,91655
public speaking,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,SRM University | NIT Trichy | IIT Delhi,https://www.srmist.edu.in | https://www.nitt.edu | https://home.iitd.ac.in,part-time,35909
research,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,IIT Bombay | IIT Delhi | SRM University,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,155190
research,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,IIT Bombay | IIT Delhi | NIT Trichy,https://www.iitb.ac.in | https://home.iitd.ac.in | https://www.nitt.edu,part-time,20173
social work,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,NIT Trichy | VIT Vellore | SRM University,https://www.nitt.edu | https://vit.ac.in | https://www.srmist.edu.in,full-time,207637
social work,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,VIT Vellore | NIT Trichy | IIT Delhi,https://vit.ac.in | https://www.nitt.edu | https://home.iitd.ac.in,part-time,47149
designing,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,VIT Vellore | NIT Trichy | IIT Delhi,https://vit.ac.in | https://www.nitt.edu | https://home.iitd.ac.in,full-time,100300
designing,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,VIT Vellore | SRM University | IIT Bombay,https://vit.ac.in | https://www.srmist.edu.in | https://www.iitb.ac.in,part-time,34463
gaming,Analytical,Science,Mechanical Engineer,Bachelor's in Mechanical Engineer,VIT Vellore | IIT Bombay | NIT Trichy,https://vit.ac.in | https://www.iitb.ac.in | https://www.nitt.edu,full-time,238563
gaming,Analytical,Science,Mechanical Engineer,Diploma in Mechanical Engineer,NIT Trichy | IIT Delhi | VIT Vellore,https://www.nitt.edu | https://home.iitd.ac.in | https://vit.ac.in,part-time,29244
coding,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,NIT Trichy | IIT Bombay | IIT Delhi,https://www.nitt.edu | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,118915
coding,Analytical,Science,AI Engineer,Diploma in AI Engineer,SRM University | IIT Bombay | NIT Trichy,https://www.srmist.edu.in | https://www.iitb.ac.in | https://www.nitt.edu,part-time,26912
reading,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,VIT Vellore | IIT Delhi | SRM University,https://vit.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,177264
reading,Analytical,Science,AI Engineer,Diploma in AI Engineer,IIT Delhi | NIT Trichy | VIT Vellore,https://home.iitd.ac.in | https://www.nitt.edu | https://vit.ac.in,part-time,37148
drawing,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,261918
drawing,Analytical,Science,AI Engineer,Diploma in AI Engineer,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,39610
public speaking,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,IIT Delhi | VIT Vellore | SRM University,https://home.iitd.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,280754
public speaking,Analytical,Science,AI Engineer,Diploma in AI Engineer,IIT Bombay | SRM University | NIT Trichy,https://www.iitb.ac.in | https://www.srmist.edu.in | https://www.nitt.edu,part-time,29350
research,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,NIT Trichy | VIT Vellore | SRM University,https://www.nitt.edu | https://vit.ac.in | https://www.srmist.edu.in,full-time,140736
research,Analytical,Science,AI Engineer,Diploma in AI Engineer,SRM University | NIT Trichy | VIT Vellore,https://www.srmist.edu.in | https://www.nitt.edu | https://vit.ac.in,part-time,17952
social work,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,IIT Delhi | SRM University | NIT Trichy,https://home.iitd.ac.in | https://www.srmist.edu.in | https://www.nitt.edu,full-time,179730
social work,Analytical,Science,AI Engineer,Diploma in AI Engineer,NIT Trichy | IIT Bombay | SRM University,https://www.nitt.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,61007
designing,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,IIT Bombay | VIT Vellore | IIT Delhi,https://www.iitb.ac.in | https://vit.ac.in | https://home.iitd.ac.in,full-time,193665
designing,Analytical,Science,AI Engineer,Diploma in AI Engineer,NIT Trichy | IIT Bombay | VIT Vellore,https://www.nitt.edu | https://www.iitb.ac.in | https://vit.ac.in,part-time,52445
gaming,Analytical,Science,AI Engineer,Bachelor's in AI Engineer,VIT Vellore | SRM University | IIT Bombay,https://vit.ac.in | https://www.srmist.edu.in | https://www.iitb.ac.in,full-time,292492
gaming,Analytical,Science,AI Engineer,Diploma in AI Engineer,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,part-time,67480
coding,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,NIT Trichy | SRM University | VIT Vellore,https://www.nitt.edu | https://www.srmist.edu.in | https://vit.ac.in,full-time,115055
coding,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,SRM University | IIT Bombay | NIT Trichy,https://www.srmist.edu.in | https://www.iitb.ac.in | https://www.nitt.edu,part-time,62560
reading,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,IIT Bombay | SRM University | NIT Trichy,https://www.iitb.ac.in | https://www.srmist.edu.in | https://www.nitt.edu,full-time,262362
reading,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,IIT Delhi | IIT Bombay | VIT Vellore,https://home.iitd.ac.in | https://www.iitb.ac.in | https://vit.ac.in,part-time,67372
drawing,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,VIT Vellore | IIT Delhi | NIT Trichy,https://vit.ac.in | https://home.iitd.ac.in | https://www.nitt.edu,full-time,152985
drawing,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,SRM University | VIT Vellore | IIT Delhi,https://www.srmist.edu.in | https://vit.ac.in | https://home.iitd.ac.in,part-time,68104
public speaking,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,SRM University | IIT Bombay | NIT Trichy,https://www.srmist.edu.in | https://www.iitb.ac.in | https://www.nitt.edu,full-time,216959
public speaking,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,SRM University | IIT Bombay | VIT Vellore,https://www.srmist.edu.in | https://www.iitb.ac.in | https://vit.ac.in,part-time,23955
research,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,VIT Vellore | IIT Bombay | SRM University,https://vit.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,155129
research,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,SRM University | NIT Trichy | VIT Vellore,https://www.srmist.edu.in | https://www.nitt.edu | https://vit.ac.in,part-time,47894
social work,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,NIT Trichy | IIT Delhi | VIT Vellore,https://www.nitt.edu | https://home.iitd.ac.in | https://vit.ac.in,full-time,153950
social work,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,51685
designing,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,NIT Trichy | IIT Delhi | VIT Vellore,https://www.nitt.edu | https://home.iitd.ac.in | https://vit.ac.in,full-time,265464
designing,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,IIT Bombay | SRM University | VIT Vellore,https://www.iitb.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,69582
gaming,Analytical,Science,Biotechnologist,Bachelor's in Biotechnologist,VIT Vellore | IIT Delhi | SRM University,https://vit.ac.in | https://home.iitd.ac.in | https://www.srmist.edu.in,full-time,90063
gaming,Analytical,Science,Biotechnologist,Diploma in Biotechnologist,IIT Delhi | IIT Bombay | VIT Vellore,https://home.iitd.ac.in | https://www.iitb.ac.in | https://vit.ac.in,part-time,33264
coding,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,VIT Vellore | SRM University | IIT Bombay,https://vit.ac.in | https://www.srmist.edu.in | https://www.iitb.ac.in,full-time,157465
coding,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,IIT Delhi | NIT Trichy | SRM University,https://home.iitd.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,part-time,57868
reading,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,IIT Bombay | VIT Vellore | NIT Trichy,https://www.iitb.ac.in | https://vit.ac.in | https://www.nitt.edu,full-time,146334
reading,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,SRM University | VIT Vellore | IIT Delhi,https://www.srmist.edu.in | https://vit.ac.in | https://home.iitd.ac.in,part-time,31215
drawing,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,NIT Trichy | VIT Vellore | IIT Delhi,https://www.nitt.edu | https://vit.ac.in | https://home.iitd.ac.in,full-time,258899
drawing,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,SRM University | VIT Vellore | NIT Trichy,https://www.srmist.edu.in | https://vit.ac.in | https://www.nitt.edu,part-time,33090
public speaking,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,IIT Delhi | SRM University | NIT Trichy,https://home.iitd.ac.in | https://www.srmist.edu.in | https://www.nitt.edu,full-time,221410
public speaking,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,NIT Trichy | SRM University | VIT Vellore,https://www.nitt.edu | https://www.srmist.edu.in | https://vit.ac.in,part-time,59771
research,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,IIT Delhi | NIT Trichy | IIT Bombay,https://home.iitd.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,full-time,255789
research,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,VIT Vellore | IIT Bombay | IIT Delhi,https://vit.ac.in | https://www.iitb.ac.in | https://home.iitd.ac.in,part-time,33143
social work,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,NIT Trichy | SRM University | IIT Bombay,https://www.nitt.edu | https://www.srmist.edu.in | https://www.iitb.ac.in,full-time,267626
social work,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,VIT Vellore | NIT Trichy | SRM University,https://vit.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,part-time,47775
designing,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,IIT Bombay | NIT Trichy | VIT Vellore,https://www.iitb.ac.in | https://www.nitt.edu | https://vit.ac.in,full-time,138902
designing,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,NIT Trichy | SRM University | IIT Delhi,https://www.nitt.edu | https://www.srmist.edu.in | https://home.iitd.ac.in,part-time,47253
gaming,Analytical,Science,Cybersecurity Analyst,Bachelor's in Cybersecurity Analyst,IIT Bombay | NIT Trichy | SRM University,https://www.iitb.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,full-time,276211
gaming,Analytical,Science,Cybersecurity Analyst,Diploma in Cybersecurity Analyst,VIT Vellore | NIT Trichy | SRM University,https://vit.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,part-time,67260
coding,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,SRM University | NIT Trichy | IIT Delhi,https://www.srmist.edu.in | https://www.nitt.edu | https://home.iitd.ac.in,full-time,252001
coding,Analytical,Science,Pharmacist,Diploma in Pharmacist,SRM University | IIT Delhi | NIT Trichy,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.nitt.edu,part-time,25924
reading,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,NIT Trichy | IIT Bombay | SRM University,https://www.nitt.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,101776
reading,Analytical,Science,Pharmacist,Diploma in Pharmacist,IIT Bombay | NIT Trichy | VIT Vellore,https://www.iitb.ac.in | https://www.nitt.edu | https://vit.ac.in,part-time,44094
drawing,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,VIT Vellore | SRM University | NIT Trichy,https://vit.ac.in | https://www.srmist.edu.in | https://www.nitt.edu,full-time,90869
drawing,Analytical,Science,Pharmacist,Diploma in Pharmacist,IIT Bombay | SRM University | VIT Vellore,https://www.iitb.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,49168
public speaking,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,SRM University | VIT Vellore | IIT Delhi,https://www.srmist.edu.in | https://vit.ac.in | https://home.iitd.ac.in,full-time,279476
public speaking,Analytical,Science,Pharmacist,Diploma in Pharmacist,VIT Vellore | NIT Trichy | IIT Bombay,https://vit.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,part-time,18210
research,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,VIT Vellore | IIT Delhi | IIT Bombay,https://vit.ac.in | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,157979
research,Analytical,Science,Pharmacist,Diploma in Pharmacist,IIT Delhi | NIT Trichy | IIT Bombay,https://home.iitd.ac.in | https://www.nitt.edu | https://www.iitb.ac.in,part-time,49342
social work,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,VIT Vellore | NIT Trichy | SRM University,https://vit.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,full-time,148517
social work,Analytical,Science,Pharmacist,Diploma in Pharmacist,VIT Vellore | SRM University | IIT Bombay,https://vit.ac.in | https://www.srmist.edu.in | https://www.iitb.ac.in,part-time,36650
designing,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,SRM University | NIT Trichy | VIT Vellore,https://www.srmist.edu.in | https://www.nitt.edu | https://vit.ac.in,full-time,259568
designing,Analytical,Science,Pharmacist,Diploma in Pharmacist,NIT Trichy | IIT Bombay | SRM University,https://www.nitt.edu | https://www.iitb.ac.in | https://www.srmist.edu.in,part-time,65385
gaming,Analytical,Science,Pharmacist,Bachelor's in Pharmacist,VIT Vellore | IIT Bombay | SRM University,https://vit.ac.in | https://www.iitb.ac.in | https://www.srmist.edu.in,full-time,280274
gaming,Analytical,Science,Pharmacist,Diploma in Pharmacist,IIT Bombay | SRM University | VIT Vellore,https://www.iitb.ac.in | https://www.srmist.edu.in | https://vit.ac.in,part-time,51290
coding,Analytical,Science,Research Scientist,Bachelor's in Research Scientist,SRM University | IIT Delhi | IIT Bombay,https://www.srmist.edu.in | https://home.iitd.ac.in | https://www.iitb.ac.in,full-time,152072
coding,Analytical,Science,Research Scientist,Diploma in Research Scientist,VIT Vellore | SRM University | IIT Bombay,https://vit.ac.in | https://www.srmist.edu.in | https://www.iitb.ac.in,part-time,44474
reading,Analytical,Science,Research Scientist,Bachelor's in Research Scientist,SRM University | IIT Delhi | VIT Vellore,https://www.srmist.edu.in | https://home.iitd.ac.in | https://vit.ac.in,full-time,113116
reading,Analytical,Science,Research Scientist,Diploma in Research Scientist,IIT Delhi | NIT Trichy | VIT Vellore,https://home.iitd.ac.in | https://www.nitt.edu | https://vit.ac.in,part-time,23391
drawing,Analytical,Science,Research Scientist,Bachelor's in Research Scientist,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,253820
drawing,Analytical,Science,Research Scientist,Diploma in Research Scientist,NIT Trichy | SRM University | IIT Bombay,https://www.nitt.edu | https://www.srmist.edu.in | https://www.iitb.ac.in,part-time,32179
public speaking,Analytical,Science,Research Scientist,Bachelor's in Research Scientist,IIT Delhi | NIT Trichy | SRM University,https://home.iitd.ac.in | https://www.nitt.edu | https://www.srmist.edu.in,full-time,248034
public speaking,Analytical,Science,Research Scientist,Diploma in Research Scientist,SRM University | VIT Vellore | IIT Bombay,https://www.srmist.edu.in | https://vit.ac.in | https://www.iitb.ac.in,part-time,68012
research,Analytical,Science,Research Scientist,Bachelor's in Research Scientist,SRM University | IIT Bombay | IIT Delhi,https://www.srmist.edu.in | https://www.iitb.ac.in | https://home.iitd.ac.in,full-time,299135
research,Analytical,Science,Research Scientist,Diploma in Research Scientist,NIT Trichy | SRM University | VIT Vellore,https://www.nitt.edu | https://www.srmist.edu.in | https://vit.ac.in,part-time,18834
social work,Analytical,Science,Research Scientist,Bachelor's in Research Scientist,IIT Bombay | VIT Vellore | SRM University,https://www.iitb.ac.in | https://vit.ac.in | https://www.srmist.edu.in,full-time,218203
social work,Analytical,Science,Research Scientist,Diploma in Research Scientist,VIT Vellore | NIT Trichy | IIT Delhi,https://vit.ac.in | https://www.nitt.edu | https://home.iitd.ac.in,part-time,44875
